ts,day,flags,ret,sigma,prev_close,open,high,low,close,volume,vwap,bar_count,is_filled
2019-12-12 14:30,2019-12-12,sigma_return,0.00354447,0.000392614,205.59,205.59,206.4,205.49,206.32,481537,206.024,3076,False
2019-12-20 09:31,2019-12-20,sigma_return,0.000991619,0.000123805,211.67,211.67,211.92,211.65,211.88,391119,211.772,1418,False
2019-12-31 09:32,2019-12-31,sigma_return,0.00259796,0.000291475,211.43,211.44,211.99,211.43,211.98,441518,211.684,2053,False
2020-01-14 13:36,2020-01-14,sigma_return,-0.00307902,0.000227901,221.19,221.18,221.2,220.46,220.51,422228,220.769,2276,False
2020-01-30 14:43,2020-01-30,sigma_return,-0.00420425,0.00041983,221.67,221.67,221.77,220.71,220.74,689114,221.142,4074,False
2020-02-13 09:31,2020-02-13,sigma_return,0.00270648,0.000274596,232.46,232.48,233.12,232.48,233.09,164358,232.709,791,False
2020-02-20 09:36,2020-02-20,sigma_return,-0.00152304,0.00016515,236.55,236.55,236.57,236.17,236.19,82025,236.314,325,False
2020-02-20 11:31,2020-02-20,sigma_return,-0.00278582,0.00027613,233.65,233.62,233.72,232.99,233,591384,233.501,2907,False
2020-02-24 09:31,2020-02-24,sigma_return,0.00563433,0.00053946,221.23,221.24,222.49,221.14,222.48,791701,221.653,4142,False
2020-02-28 09:30,2020-02-28,bar_range,,0.00126604,,198.92,200.43,198.17,200.43,1.93097e+06,198.895,6782,False
2020-02-28 14:30,2020-02-28,bar_range,0.00616692,0.00169893,202.07,202.09,204,201.55,203.32,1.31287e+06,203.016,9585,False
2020-03-03 10:00,2020-03-03,abs_return;sigma_return;bar_range,0.0217119,0.00116826,214.13,214.14,219,214.06,218.83,1.83607e+06,217.103,12673,False
2020-03-12 09:30,2020-03-12,bar_range,,0.0013564,,182.09,183.44,181,182.75,1.59283e+06,182.163,4216,False
2020-03-12 09:55,2020-03-12,bar_range,0.00711629,0.00144936,180.63,180.63,182.67,180.24,181.92,599671,181.442,2850,False
2020-03-12 13:01,2020-03-12,bar_range,0.00910346,0.00194414,184.8,184.78,186.82,184.74,186.49,663044,185.944,3476,False
2020-03-12 13:03,2020-03-12,abs_return;bar_range,0.0110081,0.00200253,187.01,187.07,189.2,187.04,189.08,909753,188.233,4782,False
2020-03-12 13:06,2020-03-12,bar_range,-0.00832022,0.00210574,190.69,190.69,190.69,188.07,189.11,822753,189.172,4278,False
2020-03-12 13:07,2020-03-12,abs_return;bar_range,-0.0118086,0.00214718,189.11,189.14,189.14,186.64,186.89,799463,187.706,4645,False
2020-03-12 13:12,2020-03-12,bar_range,-0.00816199,0.00227168,185.76,185.79,186.02,184.12,184.25,760726,184.994,5042,False
2020-03-12 13:14,2020-03-12,bar_range,0.00291608,0.00231577,184.91,184.9,185.72,183.85,185.45,473618,184.953,2971,False
2020-03-13 15:33,2020-03-13,abs_return;bar_range,-0.0108222,0.00219429,183.02,183.04,183.29,181.02,181.05,710499,181.832,5356,False
2020-03-13 15:35,2020-03-13,bar_range,0.00762002,0.00226263,181.72,181.72,183.22,181.05,183.11,526295,182.323,3911,False
2020-03-13 15:38,2020-03-13,bar_range,0.00885322,0.00229573,183.3,183.26,185.01,182.92,184.93,529556,184.166,3871,False
2020-03-13 15:57,2020-03-13,abs_return;bar_range,0.0100283,0.00232339,190.5,190.5,192.45,190.45,192.42,830807,191.355,3363,False
2020-03-13 15:59,2020-03-13,bar_range,0.00682879,0.00237259,192.64,192.5,194.48,192.37,193.96,2.7463e+06,193.741,12225,False
2020-03-16 09:45,2020-03-16,bar_range,-0.00725935,0.00229839,174.2,171.5,175,171.25,172.94,1.21491e+06,171.846,2264,False
2020-03-16 10:06,2020-03-16,bar_range,-0.00124484,0.00239742,176.84,176.84,177.29,173.63,176.62,329535,176.614,1258,False
2020-03-16 14:45,2020-03-16,bar_range,0.000562082,0.00261022,177.86,177.85,178.56,171.5,177.96,238230,178.053,1087,False
2020-03-16 15:44,2020-03-16,abs_return;bar_range,0.0129158,0.00256412,175.39,175.4,177.72,175.15,177.67,496849,176.088,2178,False
2020-03-17 09:32,2020-03-17,bar_range,0.00971902,0.00265305,175.09,175.08,177.15,175.08,176.8,389208,176.205,2084,False
2020-03-17 09:45,2020-03-17,bar_range,0.0091563,0.0028062,171.77,171.78,173.66,171.78,173.35,356872,172.97,2048,False
2020-03-17 15:01,2020-03-17,bar_range,-0.00796684,0.0027877,180.21,180.22,180.47,178.61,178.78,495825,179.202,3207,False
2020-03-17 15:58,2020-03-17,bar_range,-0.00929625,0.00269968,182.64,182.62,182.62,180.6,180.95,1.10829e+06,181.736,6163,False
2020-03-18 09:31,2020-03-18,abs_return;bar_range,0.011225,0.00272861,171.86,171.85,174.45,171.75,173.8,471054,173.281,2865,False
2020-03-18 09:33,2020-03-18,bar_range,0.00803217,0.00272469,173.6,173.57,175.77,173.57,175,329236,174.582,1565,False
2020-03-18 15:57,2020-03-18,abs_return;bar_range,-0.012039,0.00265832,174.65,174.66,174.66,172.21,172.56,970413,173.391,5927,False
2020-03-18 15:59,2020-03-18,abs_return;bar_range,0.0166899,0.00270019,173.5,173.49,176.63,173.35,176.42,1.79026e+06,174.96,7866,False
2020-03-19 15:50,2020-03-19,bar_range,-0.00890478,0.0025628,180.48,180.5,180.56,178.36,178.88,876266,179.135,5395,False
2020-03-23 09:30,2020-03-23,bar_range,,0.00199272,,170.96,170.98,168.95,169.8,1.4951e+06,170.018,5910,False
2020-03-23 09:32,2020-03-23,bar_range,0.00919981,0.00201432,168.79,168.86,170.56,168.72,170.35,401039,169.722,2764,False
